Experiment,l_c,r_c,l_n,r_n,V,w
0,0.044000000000000004,0.022000000000000002,0.039,0.023000000000000003,0.0001317175551870593,5489.839464301402
1,0.045000000000000005,0.011999999999999993,0.037,0.00599999999999999,2.4542121809843428e-05,3542.2200102226298
2,0.036,0.011999999999999993,0.038,0.001,1.6405396837045883e-05,685.138788321461
3,0.06031849010849524,0.006747589793405522,0.041136452639553525,0.0038895046342550116,1.0582835969941155e-05,3359.3464900030685
4,0.04892542155307724,0.030266083109123022,0.06348535188725751,0.002745152075955942,0.0001423011213606935,514.2372217981044
5,0.038,0.024000000000000004,0.032999999999999995,0.001,6.886685255934188e-05,348.7256917191784
6,0.02192371895887893,0.008886370322236326,0.04854827401755836,0.001,5.591441948018514e-06,1065.865522504107
7,0.07094306368896086,0.001,0.05506421010610133,0.001,3.95863525653445e-07,3988.2070219319667
8,0.031999999999999994,0.021,0.044000000000000004,0.001,4.4472385604217106e-05,379.24188611563153
9,0.04700000000000001,0.014999999999999996,0.046000000000000006,0.001,3.3366855573777175e-05,430.16458671269316
10,0.037,0.015999999999999997,0.038,0.002,3.023468769814815e-05,1045.789388595075
11,0.042,0.021,0.038,0.001,5.8307959650626565e-05,354.375685787554
12,0.045000000000000005,0.016999999999999998,0.041,0.001,4.0985217758732434e-05,409.5608026528355
13,0.044000000000000004,0.024000000000000004,0.039,0.001,7.974304632606977e-05,297.5549163302819
14,0.043000000000000003,0.022000000000000002,0.041,0.001,6.551163160530798e-05,321.2689358926983
15,0.037,0.025000000000000005,0.039,0.001,7.2771852227754e-05,312.03327762348624
16,0.041,0.023000000000000003,0.044000000000000004,0.001,6.827623314046701e-05,303.6501413201669
17,0.04838168230220273,0.030626005335800982,0.040123126603346305,0.001,0.00014269059991519817,217.59857046774414
18,0.040918431276036664,0.008254896304740973,0.028964913147733903,0.001,8.850753637968727e-06,1077.7214405462669
19,0.038,0.021,0.041,0.001,5.277561498765493e-05,359.3747510398236
20,0.039,0.021,0.038,0.001,5.415163256992727e-05,368.2671935231628
21,0.029938742354693133,0.005210253872027793,0.07343517989149222,0.001,2.7839996022228963e-06,1260.4203106839332
22,0.06277713146038251,0.031270959171864524,0.08,0.001,0.00019310758942756799,132.6058508751574
23,0.04,0.02,0.041,0.001,5.039428775623387e-05,368.0371658232317
24,0.042,0.015999999999999997,0.042,0.001,3.391035110284822e-05,446.58458529175255
25,0.038,0.019,0.042,0.002,4.3624155587747866e-05,826.4563864386878
26,0.03262804150367422,0.009047603540846362,0.04200970130643727,0.001,8.522866881250796e-06,916.979847569043
27,0.03551931746765655,0.016573169053522963,0.06932287684457106,0.001,3.0867440295678986e-05,364.63717519869596
28,0.022322922729829366,0.033002070335293114,0.024924036260849568,0.001,7.645894234767841e-05,379.37012714322685
29,0.037,0.02,0.039,0.001,4.661809338661895e-05,392.9389760798562
30,0.037,0.018,0.037,0.001,3.777765165941725e-05,449.90830899406365
31,0.012714911433626595,0.023755065400121074,0.06596700153862774,0.001,2.2748370889559512e-05,439.08945458715567
32,0.037,0.021,0.042,0.001,5.139331422007543e-05,360.01687616308885
33,0.041,0.024000000000000004,0.056000000000000015,0.001,7.436778129577761e-05,257.63322573831863
34,0.07088028498314485,0.013983017539670978,0.05687484268072952,0.001,4.371754551134998e-05,335.67820329111527
35,0.04,0.02,0.04,0.001,5.039114616358029e-05,372.6069647859344
36,0.043000000000000003,0.015999999999999997,0.06000000000000002,0.001,3.477114748993181e-05,368.5066405630697
37,0.039,0.024000000000000004,0.08,0.001,7.082406478252833e-05,220.99140870286269
38,0.05752804443036404,0.018158487114728818,0.0304618678086677,0.001,5.9687814996794694e-05,390.30223596949435
39,0.043000000000000003,0.02,0.038,0.001,5.415477416258085e-05,368.1817077667525
40,0.039,0.018,0.042,0.001,3.982911166221139e-05,410.86013032430486
41,0.01,0.021314194044448613,0.03904169373841193,0.001,1.439474728955443e-05,725.3723503849858
42,0.03743420315975052,0.034397149403486836,0.029409119378451427,0.001,0.00013923603495694738,256.67018271382386
43,0.036192255075888434,0.033896460226471886,0.08,0.001,0.00013089073791881358,161.6146006833085
44,0.042,0.022000000000000002,0.06200000000000002,0.001,6.40570742066959e-05,264.3559186653873
45,0.038,0.018,0.08,0.001,3.893061616328471e-05,300.69986219427904
